LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean
STR_AWARE,Aware,Wachsam,Opatrnì,Áûòü íà÷åêó,Uwaga,Alerta,ÁÖÀÇ
STR_SAFE,Safe,Sicherheit,Bezpeèno,Âñå ñïîêîéíî,Bezpiecznie,A salvo,¾ÈÀü
STR_COMBAT_MODE,Combat Mode,Kampfmodus,Reim,Ğåæèì áîÿ,Rozkaz,Combate,ÀüÅõ ¸ğµå
STR_POS_UP,Stand Up,Aufstehen,Vztyk,Âñòàòü,Bacznoœæ,De pié,ÀÏ¾î¼¸
STR_POS_DOWN,Go prone,Hinlegen,K zemi,Ëå÷ü,Padnij,Al suelo,Æ÷º¹À¸·Î
STR_POS_AUTO,Keep low,Ducken,Krıt se,Íå âûñîâûâàòüñÿ,Kryæ siê,Mantenerse abajo,ÀÚ¼¼ ³·Ãç
,,,,,,,
STR_COLUMN,Column,Kolonne,Kolona,Êîëîííà,Kolumna,Columna,2¿­Á¾´ë
STR_STAGGERED,Staggered Col.,Gestaffelte Kol.,Dvojitá kolona,Ğàçáèòàÿ êîëîííà,Kolumna nieregularna,Columba escalonada,±³Â÷Çü2¿­Á¾´ë
STR_WEDGE,Wedge,Keil,Klín,Êëèí,Klin,Cuña,½û±âÇü´ë¿­
STR_ECHL,Echelon L.,Staffel links,Sled vlevo,Ëåâîå çâåíî,Skos w lewo,Escaloada a la izquierda,ÁÂÃøÁ¦Çü´ë¿­
STR_ECHR,Echelon R.,Staffel rechts,Sled vpravo,Ïğàâîå çâåíî,Skos w prawo,Escalonada a la deracha,¿ìÃøÁ¦Çü´ë¿­
STR_VEE,Vee,V-förmig,Véèko,Îáğàòíûé êëèí,Romb,Rombo,V´ë¿­
STR_LINE,Line,Reihe,Rojnice,Öåïü,Szereg,Línea,1¿­È¾´ë
STR_DISENGAGE,Disengage,Zurückziehen,Stáhnout se,Âûéòè èç áîÿ,Odst¹piæ,Retirada,Åğ°¢
STR_ENGAGE_AT_WILL,Engage at will,Eigenständiger Angriff,Útoèit dle libosti,Àòàêîâàòü ïî âûáîğó,Mo¿na atakowaæ,Aracar a discreción,Á¢±Ù °ø°İ
STR_ENGAGE_NOW,Engage,Angriff,Útoèit,Àòàêîâàòü,Atakowaæ,Atacar,±³Àü
,,,,,,,
COMMENT,Command State,Befehlsstatus,Stav,Êîìàíäû,Stan rozkazów,Escados de comando,¸í·É »óÅÂ
STR_STATE_NOCOMMAND,None,Keiner,ádnı,Íåò,Brak,Nada,Ãë¼Ò
STR_STATE_WAIT,Ready,Bereit,Pøipraven,Ãîòîâ,Gotów,Lsito,ÁØºñ¿Ï·á
STR_STATE_ATTACK,Engage,Angriff,Útok,Àòàêóåò,Atakuje,Araque,±³Àü
STR_STATE_HIDE,Hide,Verstecken,Skrytı,Óêğûâàåòñÿ,Ukryty,Ocultarese,ÀºÆó
STR_STATE_MOVE,Move,Bewegen,Pøesun,Äâèæåòñÿ,Ruch,Moverse,ÀÌµ¿
STR_STATE_HEAL,Heal,Heilen,Léèení,Ëå÷èòñÿ,Leczenie,Curar,Ä¡·á
STR_STATE_REPAIR,Repair,Reparieren,Oprava,×èíèòñÿ,Naprawa,Reparar,¼ö¸®
STR_STATE_REFUEL,Refuel,Auftanken,Doplnìní paliva,Çàïğàâêà,Tankowanie,Reposar,¿¬·áº¸±Ş
STR_STATE_REARM,Rearm,Neu bewaffnen,Doplnìní støeliva,Ïåğåçàğÿäêà,Dozbrajanie,Rearmar,Åº¾àº¸±Ş
STR_STATE_SUPPORT,Support,Unterstützen,Podpora,Ïîääåğæêà,Wsparcie,Ayudar,Áö¿ø
STR_STATE_JOIN,Follow,Folgen,Následovat,Ñëåäóåò,Pod¹¿aj,Seguir,ÇÕ·ù
STR_STATE_GETIN,Mount,Einsteigen,Nástup,Ïîñàäêà,Wsi¹œæ,Entrar,Å¾½Â
STR_STATE_FIRE,Fire,Feuer,Støelba,Ñòğåëÿåò,Ognia,Fuego,»ç°İ
STR_STATE_GETOUT,Disembark,Aussteigen,Vıstup,Âûñàäêà,Wysi¹œæ,Desembarcar,ÇÏÂ÷
STR_STATE_STOP,Stop,Stop,Stojí,Ñòîèò,Staæ,Detener,Á¤Áö
STR_STATE_EXPECT,Wait,Warten,Èeká,Æäåò,Czekaj,Esperar,´ë±â
STR_STATE_ACTION,Action,Aktion,Èinnost,Äåéñòâóåò,Dzia³anie,Acción,Çàµ¿
,,,,,,,
,,,,,,,
COMMENT,Command,Befehl,Rozkaz,Ïğèêàç,Rozkaz,Comandar,¸í·É
,,,,,,,
STR_NOCOMMAND,None,Keine,ádnı,Íåò,Brak,Nada,Ãë¼Ò
STR_WAIT,Wait,Warten,Èekej,Æäàòü,Czekaæ,Eserar,´ë±â
STR_ATTACK,Engage,Angriff,Útoè na,Àòàêîâàòü,Atakowaæ,Araque,±³Àü
STR_HIDE,Find cover,Deckung suchen,Najdi kryt,Íàéòè óêğûòèå,ZnaleŸæ kryjówkê,Cúbrase,¾öÆó
STR_MOVE,Move,Bewegen,Pøesun,Äâèæåíèå,Ruch,Moverse,ÀÌµ¿
STR_HEAL,Heal,Heilen,Uzdrav,Ëå÷èòüñÿ,Leczenie,Curese,Ä¡·á
STR_REPAIR,Repair,Reparieren,Oprav,Ğåìîíòèğîâàòüñÿ,Naprawiæ,Repare,¼ö¸®
STR_REFUEL,Refuel,Auftanken,Doplò palivo,Çàïğàâèòüñÿ,Tankowaæ,Repose,¿¬·áº¸±Ş
STR_REARM,Rearm,Neu bewaffnen,Doplò støelivo,Ïåğåçàğÿäèòüñÿ,Uzupe³niæ amunicjê,Rearme,Åº¾àÃæÀü
STR_SUPPORT,Support,Unterstützen,Podpoø,Ïîääåğæàòü,Wsparcie,Ayude,Áö¿ø
STR_JOIN,Follow,Folgen,Následuj,Ñëåäîâàòü,Pod¹¿aj,Siga,ÇÕ·ù
STR_GETIN,Mount,Einsteigen,Nastup,Ïîñàäêà,Wsi¹œæ,Vehiculo,Å¾½Â
STR_FIRE,Fire,Feuer,Støílej,Îòêğûòü îãîíü,Ognia,Fuego,»ç°İ
STR_GETOUT,Disembark,Aussteigen,Vystup,Âûñàäêà,Wysi¹œæ,Desembarque,ÇÏÂ÷
STR_STOP,Stop,Stop,Zastav,Îñòàíîâèòüñÿ,Staæ,Detengase,Á¤Áö
STR_EXPECT,Wait for me,Auf mich warten,Poèkej,Æäàòü ìåíÿ,Czekaj,Espere,ºĞ´ëÀå µÚ¿¡ ´ë±â
STR_ACTION,Action,Aktion,Èinnost,Äåéñòâèå,Dzia³anie,Acción,Çàµ¿
,,,,,,,
STR_WATCH,Engage,Angriff,Pozoruj,Ïğèêàç,Atakowaæ,Atacar,±³Àü
STR_WATCH_AROUND,Watch Around,Gegend überwachen,Rozhlíej se,Îñìîòğåòüñÿ âîêğóã,Rozejrzeæ siê,Vigilar,¼ö»ö
STR_WATCH_AUTO,No target,Kein Ziel,ádnı cíl,Íåò öåëè,Brak celu,Sin objetivo,Àû ¾øÀ½
STR_ADVANCE,Advance,Vorrücken,Vpøed,Â áîé,Naprzód,Avanzar,ÀüÁø
STR_STAY_BACK,Stay Back,Zurückbleiben,Zùstat vzadu,Äåğæàòüñÿ ïîçàäè,Zostaæ z ty³u,Quedarse atrás,ÈÄ¹æ´ë±â
STR_FLANK_LEFT,Flank Left,Von links nähern,Uhnout vlevo,Ëåâûé ôëàíã,Obejœæ z lewej,Flanco izquierdo,ÁÂÃøÀü°³
STR_FLANK_RIGHT,Flank Right,Von rechts nähern,Uhnout vpravo,Ïğàâûé ôëàíã,Obejœæ z prawej,Flanco derecho,¿ìÃøÀü°³
STR_NEXT_WAYPOINT,Next waypoint,Nächste Wegmarke,Další bod trasy,Ñëåä. òî÷êà ìàğøğóòà,Nastêpny punkt trasy,Siguiente marca,´ÙÀ½ ÀÌµ¿Æ÷ÀÎÆ®
,,,,,,,
STR_AWAY,Away,Fort,Daleko,Äàëåêî,Daleko,Lejos,ÀÌÅ»
STR_FOLLOW_ME,Return to Formation,Zurück in Formation,Zpìt do formace,Íàçàä â ñòğîé,Powrót do formacji,Vuelva a la formación,´ë¿­ ÇÕ·ù
STR_CEASE_FIRE,Cease Fire,Feuer einstellen,Zastavit palbu,Ïğåêğàòèòü îãîíü,Wstrzymaæ ogieñ,Cese el fuego,»ç°İÁßÁö
,,,,,,,
STR_LEADER,Leader,Anführer,Velitel,Ëèäåğ,Dowódca,Líder,ºĞ´ëÀå
,,,,,,,
STR_RADIO_CUSTOM,Custom,Benutzerdefiniert,Vlastní,Âûáîğî÷íî,W³asny,Personal,Ä¿½ºÅÒ
,,,,,,,
STR_RADIO,Radio,Funk,Rádio,Ğàöèÿ,Radio,Radio,¹«Àü±â
STR_RADIO_ALPHA,Alpha,Alpha,Alfa,Àëüôà,Alfa,Alfa,¾ËÆÄ
STR_RADIO_BRAVO,Bravo,Bravo,Bravo,Áğàâî,Bravo,Bravo,ºê¶óº¸
STR_RADIO_CHARLIE,Charlie,Charlie,Charlie,×àğëè,Charlie,Charlie,Âû¸®
STR_RADIO_DELTA,Delta,Delta,Delta,Äåëüòà,Delta,Delta,µ¨Å¸
STR_RADIO_ECHO,Echo,Echo,Echo,İõî,Echo,Eco,¿¡ÄÚ
STR_RADIO_FOXTROT,Foxtrot,Foxtrot,Foxtrot,Ôîêñòğîò,Foxtrot,Foxtrot,Æø½ºÆ®·Ô
STR_RADIO_GOLF,Golf,Golf,Golf,Ãîëüô,Golf,Golf,°ñÇÁ
STR_RADIO_HOTEL,Hotel,Hotel,Hotel,Îòåëü,Hotel,Hotel,È£ÅÚ
STR_RADIO_INDIA,India,India,India,Èíäèÿ,India,India,ÀÎµğ¾Æ
STR_RADIO_JULIET,Juliet,Juliet,Juliet,Äæóëüåòòà,Juliet,Juliet,ÁÙ¸®¿§
,,,,,,,
COMMENT,InGameUI,InGameUI,Herní rozhraní,InGameUI,InGameUI,InGameUI,ÀÎ°ÔÀÓ UI
STR_UI_HBAR,Health,Gesundheit,Zdraví,Çäîğîâüå,Kondycja,Médco,Ã¼·Â
STR_UI_ABAR,Armor,Panzerung,Pancíø,Áğîíÿ,Pancerz,Blindaje,Àå°©
STR_UI_FBAR,Fuel,Treibstoff,Palivo,Òîïëèâî,Paliwo,Combustible,¿¬·á
STR_UI_EBAR,Rating,Bewertung,Hodnocení,Ğåéòèíã,Ocena,Calificación,Æò°¡
,,,,,,,
STR_UI_CARGO_INF,Cargo infantry %d,Infanteriefracht %d,Pøeváená pìchota %d,Ïàññàæèğû %d,Przewo¿ona piechota %d,Carga de infatería %d,º¸º´ Â÷·® %d
STR_UI_CARGO_FUEL,Cargo fuel %.0f,Treibstoff-Fracht %.0f,Náklad paliva %.0f,Òîïëèâà %.0f,Zapas paliwa %.0f,Carga de combustible %.0f,¿¬·á Â÷·® %.0f
STR_UI_CARGO_REPAIR,Cargo repair %.0f,Reparaturfracht %.0f,Náhradní díly %.0f,Ïî÷èíêà %.0f,Zapas napraw %.0f,Carga reparación %.0f,¼ö¸® Â÷·® %.0f
STR_UI_CARGO_AMMO,Cargo ammo %.0f,Munitionsfracht %.0f,Náklad munice %.0f,Áîåïğèïàñû %.0f,Zapas amunicji %.0f,Carga de munición %.0f,Åº¾à Â÷·® %.0f
STR_UI_SPEED,Speed %.0f,Geschw. %.0f,Rychlost %.0f,Ñêğ.: %.0f,Szybk. %.0f,Vel. %.0f,¼Ó·Â %.0f
STR_UI_ALT,Alt. %.0f,Höhe %.0f,Vıška %.0f,Âûñ.: %.0f,Wys. %.0f,Alt. %.0f,°íµµ. %.0f
,,,,,,,
COMMENT,Multiplayer statistics,Mehrspieler-Statistiken,Statistiky hry více hráèù,Ñòàòèñòèêà ñåòåâîé èãğû,Statystyka gry wieloosobowej,Estadisticas multijugador,¸ÖÆ¼ÇÃ·¹ÀÌ¾î Åë°è
STR_MPTABLE_NAME,Player,Spieler,Hráè,Èãğîê,Gracz,Juagdor,ÇÃ·¹ÀÌ¾î
STR_MPTABLE_INFANTRY,Infantry,Infanterie,Pìchota,Ïåõîòà,Piechota,Infantería,º¸º´
STR_MPTABLE_SOFT,Soft,Ungepanzert,Lehké,Ìîòîïåõîòà,Lekkie,Libiano,Â÷·®
STR_MPTABLE_ARMORED,Armored,Gepanzert,Obrnìné,Òàíêè,Pancerne,Blindado,Àå°©Â÷·®
STR_MPTABLE_AIR,Air,Luft,Vzdušné,Âîçäóõ,Lotnicze,Aire,ºñÇàÀ¯´Ö
STR_MPTABLE_PLAYERS,Players,Spieler,Hráèi,Èãğîêè,Gracze,Juagadores,ÇÃ·¹ÀÌ¾î
STR_MPTABLE_TOTAL,Total,Gesamt,Celkem,Âñåãî,W sumie,Total,ÇÕ°è
STR_MPTABLE_KILLED,Killed,Getötet,Zabit,Ñìåğòåé,Zabici,Bajas,Àü»çÈ½¼ö
,,,,,,,
COMMENT,Actions,Aktionen,Èinnosti,Äåéñòâèÿ,Dzia³ania,Acciones,Çàµ¿
STR_NO_ACTION,No action available,Keine Aktion verfügbar,ádná èinnost není dostupná,Íåò äîñòóïíûõ äåéñòâèé,Brak dostêpnych dzia³añ,No hay acciones disponibles,Çàµ¿ ºÒ°¡´É
STR_ACTION_GETIN_COMMANDER,Get in %s as commander,Steigen Sie als Kommandant im %s ein.,Nastup do %s jako velitel,Ñåñòü â %s êîìàíäèğîì,%s - dowódca,Entar en %s como comandante,%s ¿¡ ÁöÈÖ¼®À¸·Î Å¾½Â
STR_ACTION_GETIN_DRIVER,Get in %s as driver,Steigen Sie als Fahrer im %s ein.,Nastup do %s jako øidiè,Ñåñòü â %s âîäèòåëåì,%s - kierowca,Entrar en %s como conductor,%s ¿¡ Á¶Á¾¼ö·Î Å¾½Â
STR_ACTION_GETIN_PILOT,Get in %s as pilot,Steigen Sie als Pilot im %s ein.,Nastup do %s jako pilot,Ñåñòü â %s ïèëîòîì,%s - pilot,Subir al %s como piloto,%s ¿¡ ÆÄÀÏ·µÀ¸·Î Å¾½Â
STR_ACTION_GETIN_GUNNER,Get in %s as gunner,Steigen Sie als Schütze im %s ein.,Nastup do %s jako støelec,Ñåñòü â %s ñòğåëêîì,%s - strzelec,Subir a %s como artillero,%s ¿¡ »ç°İ¼ö·Î Å¾½Â
STR_ACTION_GETIN_CARGO,Get in %s as passenger,Steigen Sie im %s auf dem Rücksitz ein.,Nastup do %s jako pasaér,Ñåñòü â %s ïàññàæèğîì,%s - pasa¿er,Abordar el %s como pasajero,%s µŞÀÚ¼®¿¡ Å¾½Â
STR_ACTION_HEAL,Heal at %s,Heilen bei %s,Ošetøit se - %s,Ïåğåâÿçêà (%s),Lecz siê - %s,Curarse en %s,%s ¿¡(°Ô)¼­ Ä¡·á
STR_ACTION_REPAIR,Repair at %s,Reparieren bei %s,Opravit se - %s,Ğåìîíò (%s),Napraw - %s,Reparar en %s,%s ¿¡(°Ô)¼­ ¼ö¸®
STR_ACTION_REFUEL,Refuel at %s,Auftanken bei %s,Doplòit palivo - %s,Çàïğàâêà (%s),Zatankuj - %s,Reposar en %s,%s ¿¡(°Ô)¼­ ¿¬·áº¸±Ş
STR_ACTION_REARM,Rearm at %s,Neu bewaffnen bei %s,Doplòit munici - %s,Ïåğåçàğÿäêà (%s),WeŸ amunicjê - %s,Rearmar en %s,%s ¿¡(°Ô)¼­ Åº¾àÃæÀü
STR_ACTION_GETOUT,Get out,Aussteigen,Vystoupit,Âûéòè,Opusæ/wyjdŸ,Salir,ÇÏÂ÷
STR_ACTION_LIGHTON,Light on,Licht an,Rozsvítit svìtla,Âêë. ôàğû,Zapal œwiat³a,Encender luces,¶óÀÌÆ® ÄÔ
STR_ACTION_LIGHTOFF,Light off,Licht aus,Zhasnout svìtla,Âûêë. ôàğû,Zgaœ œwiat³a,Apagar luces,¶óÀÌÆ® ²û
STR_ACTION_ENGINEON,Engine on,Motor an,Nastartovat,Çàâåñòè,W³¹cz silnik,Encender motor,¿£Áø °¡µ¿
STR_ACTION_ENGINEOFF,Engine off,Motor aus,Vypnout motor,Çàãëóøèòü,Wy³¹cz silnik,Apagar motor,¿£Áø ²û
STR_ACTION_WEAPON,%s,%s,%s,%s,%s,%s,%s (À»)¸¦ ¹«Àå
STR_ACTION_MAGAZINE,Reload %s,Neu laden %s,Nabít %s,Çàğÿäèòü %s,Na³aduj %s,Recargar %s,%s (À»)¸¦ ÀçÀåÀü
STR_ACTION_TAKEWEAPON,Take %s,Nehmen %s,Vzít %s,Âçÿòü %s,WeŸ %s,Tomar %s,%s (À»)¸¦ È¹µæ
STR_ACTION_DROPTAKEWEAPON,Take %s (drop %s),Nehmen %s (stellen %s),Vzít %s (poloit %s),Âçÿòü %s (áğîñèòü %s),WeŸ %s (zostaw %s),Tomar %s (Tirar %s),%s (À»)¸¦ È¹µæ (%s (À») ¹ö¸²)
STR_ACTION_TAKEMAGAZINE,Take %s,Nehmen %s,Vzít %s,Âçÿòü %s,WeŸ %s,Dejar %s,%s (À»)¸¦ È¹µæ
STR_ACTION_DROPTAKEMAGAZINE,Take %s (drop %s),Nehmen %s (stellen %s),Vzít %s (poloit %s),Âçÿòü %s (áğîñèòü %s),WeŸ %s (zostaw %s),Tomar %s (Dejar %s),%s À»(¸¦) È¹µæ (%s À»(¸¦) ¹ö¸²)
STR_ACTION_TAKEFLAG,Take Flag,Nehmen Fahne,Sebrat Vlajku,Âçÿòü ôëàã,WeŸ flagê,Tomar la bandera,±ê¹ß È¹µæ
STR_ACTION_RETURNFLAG,Return Flag,Zurückbringen Fahne,Vrátit Vlajku,Âåğíóòü ôëàã,Oddaj flagê,Devolver Bandera,±ê¹ß ¿øÀ§Ä¡
STR_ACTION_TURNIN,Turn in,Wieder einsteigen,Zavøít poklop,Áîåâîé ğåæèì,Zamknij w³az,Cerrar escotilla,ÇØÄ¡ ´İ±â
STR_ACTION_TURNOUT,Turn out,Ausschau halten,Otevøít poklop,Ïîõîäíûé ğåæèì,Wyjrzyj przez w³az,Abrir escotilla,ÇØÄ¡ ¿­±â
STR_ACTION_WEAPONINHAND,%s in hand,%s in der Hand,%s do ruky,%s â ğóêè,%s do r¹k,%s armada,%s ¹«Àå
STR_ACTION_WEAPONONBACK,%s on back,%s auf dem Rücken,%s na záda,%s çà ñïèíó,%s na plecy,%s en descanso,%s ¾î±ú °É±â
STR_ACTION_SITDOWN,Sit down,Hinsetzen,Sednout,Ñåñòü,Siadaj,Sentarse,¾ÉÀ½
STR_ACTION_EJECT,Eject,Abspringen,Vyskoèit,Ïîêèíóòü ìàøèíó,Wyskocz,Expulsar,Å»Ãâ
STR_ACTION_LAND,Autopilot on,Autopilot für die Landung,Zapnout autopilota,Âêë. àâòîïèëîò,L¹duj z autopilotem,Piloto Automático,ÀÚµ¿Á¶Á¾À¸·Î Âø·ú
STR_ACTION_CANCEL_LAND,Autopilot off,Autopilot für die Landung abstellen,Vypnout autopilota,Âûêë. àâòîïèëîò,Wy³¹cz autopilota,Apagar piloto automático,ÀÚµ¿Á¶Á¾ ²û
STR_ACTION_TO_DRIVER,To driver's seat,Zum Sitz des Fahrers,Na místo øidièe,Íà ìåñòî âîäèòåëÿ,Na miejsce kierowcy,Al asiento del conductor,¿îÀü¼®À¸·Î
STR_ACTION_TO_PILOT,To pilot's seat,Zum Sitz des Piloten,Na místo pilota,Íà ìåñòî ïèëîòà,Na miejsce pilota,Al asiento del piloto,ÆÄÀÏ·µ¼®À¸·Î
STR_ACTION_TO_GUNNER,To gunner's seat,Zum Sitz des Schützen,Na místo støelce,Íà ìåñòî ñòğåëêà,Na miejsce stzelca,Al asiento del artillero,»ç°İ¼ö¼®À¸·Î
STR_ACTION_TO_COMMANDER,To commander's seat,Zum Sitz des Kommandanten,Na místo velitele,Íà ìåñòî êîìàíäèğà,Na miejsce dowódcy,AL asiento del comandante,ÁöÈÖ¼®À¸·Î
STR_ACTION_TO_CARGO,To back seat,Zum Rücksitz,Dozadu,Íà ìåñòî ïàññàæèğà,Z ty³u,Al asiento de pasajero,µŞÀÚ¸®·Î
