LANGUAGE,Chinese
TZK_LANG_SEA,海
TZK_LANG_SEND,送
TZK_LANG_SETTING,设置
TZK_LANG_SHELTER,遮蔽物
TZK_LANG_SIZE,尺寸
TZK_LANG_SNEAK_ATTACK,偷袭
TZK_LANG_SPEED,速度
TZK_LANG_START,开始
TZK_LANG_STEP_BY_STEP,逐步地
TZK_LANG_STEALTH,潜行
TZK_LANG_STUCK,卡住
TZK_LANG_SHORT_SUPPORT,Sup
TZK_LANG_SUPERIOR,上级
TZK_LANG_TARGET,目标
TZK_LANG_THERE_IS,有
TZK_LANG_THERE_ARE,有
TZK_LANG_TYPE,类型
TZK_LANG_WAIT,等待
TZK_LANG_RESPAWN,复活
TZK_LANG_UNLOCK,解锁
TZK_LANG_VOTE,投票
,
TZK_LANG_AIRCRAFT,飞行器
TZK_LANG_HOWITZER,榴弹炮
TZK_LANG_MULTIPLE_LAUNCH_ROCKET_SYSTEM,火箭炮
TZK_LANG_SOLDIER,士兵
TZK_LANG_SHORT_HELICOPTER,直升机
TZK_LANG_SHORT_STRUCTURE,建筑
TZK_LANG_TRANSPORT,运输
TZK_LANG_COMMANDER,指挥官
TZK_LANG_DRIVER,驾驶员
TZK_LANG_GUNNER,炮手
TZK_LANG_SUPPORT,支援
TZK_LANG_VEHICLE,载具
TZK_LANG_UNIT,单位
,
TZK_LANG_BUT,但
TZK_LANG_FROM,从
TZK_LANG_TO,to
TZK_LANG_FOR,for
TZK_LANG_WITHIN,within
TZK_LANG_AT,at
TZK_LANG_IN,in
TZK_LANG_IF,如果
TZK_LANG_NO,No
TZK_LANG_OR,或
TZK_LANG_NOT,not
TZK_LANG_BETWEEN,between
TZK_LANG_BOTH,二者
TZK_LANG_TOO,也
TZK_LANG_ME,我
TZK_LANG_YOU,你
TZK_LANG_YOUR,你的
TZK_LANG_OUR,我们的
TZK_LANG_DO,do
TZK_LANG_SHOULD,应该
TZK_LANG_HAS,有
TZK_LANG_HASNT,没有
TZK_LANG_WILL,将会
TZK_LANG_WONT,将不会
,
TZK_LANG_DESTINATION_TOO_FAR,目的地太远了
TZK_LANG_TOO_FAR_FROM_MHQ,建造它的位置离MHQ太原
TZK_LANG_TOO_FAR_FROM_MHQ_OR_SUP,目的地距离MHQ或Sup太远了
TZK_LANG_NO_PROPER_WEAPON,没有合适的武器
TZK_LANG_ORDER_ABORTED,命令终止
TZK_LANG_INVALID_INITSPEED,无效的初始速度
TZK_LANG_SWITCH_ANOTHER_MAG,切换另一个初速度的弹夹
TZK_LANG_INVALID_RANGE,无效的高度差或距离。重新选择一个目标
TZK_LANG_CANT_HIT,当前参数无法命中目标，调整目标或切换弹夹
TZK_LANG_UNEXPECTED_CASE,非预期的场景
TZK_LANG_NO_AVAILABLE_MAG,没有合适的弹夹。命令终止。给我装弹
TZK_LANG_AREA_FILLED_ENEMY_STRUCT,没有合适的射击目标（整个区域都是敌军关键建筑）
TZK_LANG_ATTACHED_BAN_SHOOT,被拖拽的载具不允许执行火炮命令
TZK_LANG_NEED_MOVE_TO,需要移动到
TZK_LANG_AUTO_DETECT,自动探测
TZK_LANG_NO_AVAILABLE_TARGET,没有合适的目标
TZK_LANG_WAITING_NEXT_LOOP,等待下一次循环
TZK_LANG_TARGET_TOO_FAR,目标太远了
TZK_LANG_CANT_APPROACH,无法靠近攻击位置
TZK_LANG_CANT_FIND_ATTACK_POS,无法找到攻击位置
TZK_LANG_CANT_LOCATE,无法定位目标。命令终止。帮我锁定目标
TZK_LANG_CANT_RELOAD,命令终止。帮我重装弹夹（用 6 - 行动指令），然后再下令炮击
TZK_LANG_ROCKETS_SHOT,火箭弹已全部发射。命令执行完毕
TZK_LANG_MISMATCH_MAGDATA,我的弹夹数据不匹配当前命令。不执行补给。命令终止
TZK_LANG_MAG_EXHAUSTED,弹夹耗尽
TZK_LANG_TOO_LONG,耗费太多时间
TZK_LANG_CANT_REACH_SUP,无法抵达Sup
TZK_LANG_HELP_ME_REARM_DEPLOY,帮我装弹，或部署载具
TZK_LANG_BRDIGE_CLOSE_TO_THE_SEA,选择靠近大海足够近的点
TZK_LANG_BRDIGE_OVER_THE_SEA,两点之间存在陆地。只允许在水上建造
TZK_LANG_BRDIGE_NOT_IN_THE_SEA,不要选择水域内的点
TZK_LANG_BRIEF_MOVE_LAND,这个按钮迫使地面载具移动，以处理载具卡住的问题。为避免在战斗中恶意利用，命令将延迟几秒钟，并且只以很慢的速度移动
TZK_LANG_BRIEF_MOVE_SHIP,这个按钮迫使船只移动。AI船只在浅水域只以15km/h移动。脚本将迫使AI船只以60km/h移动
TZK_LANG_FAR_FROM_START,距离起点太远。命令不会执行
TZK_LANG_DRAW_LINE_FIRST,先画一条线
